BAJAWA~AIMERE~1~BJW01~AIMERE~AIMERE
BAJAWA~RIUNG BARAT WOLOMEZE~3~BJW01~RIUNG BARAT WOLOMEZE~NGARA
BAJAWA~RIUNG BARAT WOLOMEZE~4~BJW01~RIUNG BARAT WOLOMEZE~RIA
BAJAWA~RIUNG BARAT WOLOMEZE~5~BJW01~RIUNG BARAT WOLOMEZE~RIA I
BAJAWA~RIUNG BARAT WOLOMEZE~6~BJW01~RIUNG BARAT WOLOMEZE~WOLOMEZE
BAJAWA~RIUNG SELATAN~1~BJW01~RIUNG SELATAN~DENATANA
BAJAWA~RIUNG SELATAN~2~BJW01~RIUNG SELATAN~MAINAI
BAJAWA~RIUNG SELATAN~3~BJW01~RIUNG SELATAN~NGINAMANU
BAJAWA~RIUNG SELATAN~4~BJW01~RIUNG SELATAN~TURALOA
BAJAWA~SOA~1~BJW01~SOA~LOA
BAJAWA~SOA~2~BJW01~SOA~MASUMELI
BAJAWA~SOA~3~BJW01~SOA~MENGERUDA
BAJAWA~SOA~4~BJW01~SOA~PIGA
BAJAWA~SOA~5~BJW01~SOA~SESO
BAJAWA~SOA~6~BJW01~SOA~TARAWAJA
BAJAWA~SOA~7~BJW01~SOA~WAEPANA
